temperature_2m_max,temperature_2m_min,windspeed_10m_max,relative_humidity_2m_max,rained_tomorrow
8.4,-1.6,15.0,67,1
9.6,1.7,17.2,87,1
7.4,4.6,17.9,92,1
5.7,1.6,23.0,100,0
14.1,4.0,19.7,84,0
16.3,4.9,11.3,76,1
18.8,9.0,26.7,91,0
10.2,5.3,25.8,66,0
15.6,3.4,14.7,75,0
18.4,4.1,17.6,88,1
27.1,15.7,19.5,72,0
22.0,10.9,19.6,74,1
13.6,7.3,14.6,83,1
27.1,11.1,15.5,96,0
25.1,9.8,14.7,73,0
26.2,11.4,15.7,66,0
25.0,14.4,16.4,78,1
22.2,13.9,21.4,92,0
14.2,8.4,30.4,65,0
22.6,9.1,12.7,61,0
27.1,11.1,19.3,67,0
22.8,16.4,17.9,78,0
21.2,10.2,14.6,59,0
30.1,14.2,16.0,96,1
29.0,18.3,14.7,85,1
21.3,15.3,13.1,94,1
20.2,14.4,13.5,97,1
19.1,14.0,15.2,98,1
22.5,13.9,11.8,87,1
24.3,13.6,11.0,87,1
16.9,12.2,12.5,97,0
20.6,10.1,23.3,85,0
23.4,11.3,12.3,83,0
20.4,10.9,11.6,79,1
20.4,14.8,11.0,93,1
19.2,14.9,17.1,94,1
23.0,15.6,10.9,99,1
22.4,15.2,13.4,99,1
26.8,17.3,19.2,100,1
23.1,14.9,24.9,76,0
20.1,12.1,21.8,72,0
18.6,8.6,15.2,71,1
14.0,9.6,18.1,82,1
12.6,9.0,20.4,94,1
16.8,8.8,13.9,93,1
17.0,8.5,18.2,87,0
19.2,10.4,17.6,82,0
22.2,10.4,13.1,83,0
25.6,11.9,14.7,88,1
19.0,12.4,11.6,92,1
21.6,12.7,12.2,97,1
23.5,16.2,11.8,98,1
19.5,12.3,25.6,99,0
18.8,9.6,20.8,77,0
21.6,9.9,12.3,87,0
26.8,11.4,10.8,90,0
29.8,14.6,14.2,75,0
34.9,20.2,16.2,77,1
31.9,21.6,13.8,80,1
26.8,20.3,17.2,88,1
24.2,16.6,15.2,94,1
21.5,15.2,10.5,95,1
25.6,17.1,12.5,96,0
29.0,17.0,18.7,92,1
33.8,19.8,16.4,72,0
29.8,20.2,12.5,62,1
21.0,15.9,14.4,85,1
19.6,15.2,11.0,90,1
20.0,15.8,12.1,92,1
21.3,17.1,10.8,97,1
28.6,18.2,12.1,98,1
31.4,22.0,17.1,99,1
28.2,18.5,17.8,87,0
33.2,20.1,15.2,81,1
34.0,24.3,19.3,73,0
40.2,26.5,7.1,85,0
40.4,29.0,17.6,62,1
38.4,28.4,15.9,64,1
30.6,20.0,17.3,71,1
23.0,17.9,13.5,81,1
30.5,18.1,14.2,94,0
33.1,23.2,12.5,94,1
35.0,22.7,16.5,81,1
32.8,24.0,17.7,95,1
29.7,22.8,7.5,97,1
31.5,21.5,18.0,92,0
28.3,18.4,11.6,79,0
32.4,19.1,15.0,80,0
34.5,21.6,13.3,75,1
31.6,24.2,16.3,90,1
37.0,23.6,14.6,95,1
32.3,23.0,9.5,95,1
27.2,22.7,6.6,94,1
29.1,21.5,12.1,99,1
30.6,22.6,13.2,96,1
29.8,22.5,14.5,89,1
31.5,23.1,13.7,97,1
28.9,22.9,8.7,99,1
30.6,23.1,11.6,99,1
33.5,23.8,18.6,97,0
29.8,22.4,15.0,72,0
28.3,21.1,14.0,83,1
34.1,22.3,15.3,96,0
31.8,21.5,19.2,79,0
28.1,19.6,14.0,63,0
28.9,19.6,13.2,88,0
31.1,20.0,14.0,75,1
37.8,24.5,22.7,78,0
30.6,23.6,14.4,85,1
30.8,22.4,13.8,87,0
35.2,23.6,11.9,88,0
39.5,24.9,9.6,87,1
37.5,27.0,14.7,77,1
31.8,19.9,15.7,92,1
23.0,17.8,16.1,89,0
25.6,17.1,10.1,97,0
28.0,16.5,11.1,94,0
33.2,17.0,14.6,90,0
31.0,19.9,9.7,90,1
28.5,20.9,13.0,87,1
28.5,19.0,13.8,85,0
28.2,17.0,12.8,88,0
30.0,17.3,11.3,85,0
33.2,18.4,13.0,73,0
32.4,20.8,12.7,75,0
33.3,21.1,14.1,82,1
32.0,23.5,13.3,92,1
31.3,22.6,6.5,97,0
32.4,22.9,13.1,88,1
30.5,22.5,10.5,94,1
35.3,22.0,14.6,88,1
25.0,18.6,16.8,83,0
24.2,17.5,13.1,85,1
22.7,15.9,15.1,90,0
21.9,15.8,22.6,90,0
26.9,14.9,13.3,78,0
28.0,17.2,21.6,79,1
26.2,17.5,18.6,88,0
31.6,19.1,19.4,98,0
27.5,17.6,16.6,63,1
25.0,16.5,15.6,67,0
27.1,15.1,14.1,83,0
27.4,18.0,16.0,72,0
25.8,14.3,14.0,65,0
27.5,14.9,15.1,68,0
26.6,16.6,16.8,77,0
26.9,16.5,13.9,81,0
26.4,15.5,13.8,96,1
25.2,16.0,20.4,95,1
28.5,18.1,15.7,97,1
30.1,19.1,19.0,95,1
20.8,16.8,9.4,95,0
21.6,13.1,9.2,82,0
22.2,13.2,12.8,93,1
20.6,15.2,13.8,92,0
26.9,15.4,13.6,80,0
27.4,16.3,11.4,78,1
26.5,16.2,12.7,99,1
29.8,17.0,9.3,93,0
28.5,17.9,12.1,98,0
24.5,17.5,17.0,91,1
21.1,17.2,14.4,92,1
27.4,18.2,7.7,93,0
28.0,18.0,11.1,81,0
23.8,14.5,12.3,78,0
22.1,13.8,11.2,88,0
22.6,12.0,11.2,96,1
29.5,16.6,14.9,94,1
26.6,18.4,16.9,99,1
24.9,19.9,15.7,98,0
26.5,18.6,8.7,94,1
24.4,16.9,6.1,90,1
28.0,17.7,6.5,96,0
24.1,17.2,10.7,87,0
25.4,17.0,14.1,88,0
20.3,12.1,14.4,66,0
19.0,9.6,8.7,78,0
22.1,9.0,8.9,92,0
27.8,11.8,9.4,88,0
29.8,14.4,9.6,90,0
26.8,14.6,12.8,86,0
27.4,17.1,19.2,90,1
21.8,14.4,17.4,93,0
15.1,8.4,14.9,74,0
16.1,4.8,11.4,89,1
19.0,9.6,12.9,94,1
16.5,13.1,24.6,93,1
14.9,12.2,28.6,93,1
16.1,12.2,19.0,88,0
19.9,11.6,13.4,88,0
15.3,7.2,17.5,70,0
17.0,7.2,15.0,71,0
17.9,6.5,7.6,86,0
20.8,9.9,20.4,88,1
20.0,12.2,23.9,93,1
19.2,8.0,12.7,77,1
16.6,11.4,21.1,96,1
15.1,8.6,18.1,75,0
14.9,5.8,11.9,85,0
14.4,5.8,9.2,85,1
14.4,6.8,7.2,86,0
12.9,3.5,11.7,86,0
12.4,4.2,21.7,83,1
13.6,7.1,16.7,77,1
16.5,10.9,26.5,99,0
14.8,10.1,27.4,94,0
14.4,7.6,22.0,70,0
14.9,4.0,9.3,90,1
14.0,6.2,16.3,97,0
14.9,8.1,23.1,57,0
18.3,4.0,20.6,75,1
13.7,5.3,23.4,74,0
15.4,1.8,18.2,89,1
18.5,11.9,15.2,95,1
16.4,8.5,16.5,100,1
13.9,2.2,17.3,100,1
4.3,0.8,28.2,63,0
9.2,2.2,15.6,68,1
10.4,5.0,21.1,80,0
10.1,2.9,16.5,80,1
8.8,1.3,13.0,88,1
13.0,4.7,25.8,87,0
6.2,1.4,25.5,60,0
7.9,0.9,16.1,73,1
8.2,2.0,8.7,95,0
7.8,0.0,6.6,82,0
10.9,2.5,14.4,95,1
11.0,4.3,14.2,97,0
7.7,-0.9,12.2,95,0
11.4,4.2,13.5,74,1
12.7,2.9,18.0,95,1
15.4,10.9,17.6,96,0
10.4,2.5,20.0,68,0
5.7,0.1,25.9,65,0
5.8,-0.2,16.0,67,1
4.9,-0.3,12.5,95,0
6.1,-0.3,17.8,90,1
3.0,-1.6,17.2,100,0
4.2,-1.3,17.7,84,1
5.4,-3.4,20.4,80,0
-0.8,-6.7,14.5,76,1
4.3,-1.8,9.7,90,0
5.1,-1.7,11.8,83,0
1.8,-4.4,18.6,80,0
-0.3,-7.4,15.8,67,1
6.4,-0.6,18.3,93,0
4.0,-2.2,24.1,92,0
1.5,-4.8,16.1,61,1
3.8,-4.4,8.0,87,1
0.5,-7.8,19.0,100,0
-2.9,-8.6,18.1,80,0
-2.3,-9.3,11.7,85,0
